,B1_mean,B1_std,B1_skew,B1_kurtosis,B1_entropy,B1_rms,B1_max,B1_p2p,B2_mean,B2_std,B2_skew,B2_kurtosis,B2_entropy,B2_rms,B2_max,B2_p2p,B3_mean,B3_std,B3_skew,B3_kurtosis,B3_entropy,B3_rms,B3_max,B3_p2p,B4_mean,B4_std,B4_skew,B4_kurtosis,B4_entropy,B4_rms,B4_max,B4_p2p
2004-03-04 09:27:46,0.061630011231016586,0.07963225797668581,0.030944655456082146,1.2932187201286083,4.79748655449216,0.07976986987729906,0.569,1.116,0.07527833390302248,0.09662739334297812,0.1515048889117489,0.7767807636228681,5.079615842805557,0.09670442865156803,0.527,0.964,0.05199086869475958,0.06619263122893793,0.08354465849983635,0.5926725709622218,4.707412153748513,0.06639106913759905,0.361,0.671,0.043474583719906465,0.05532524988177173,0.038761836536215406,0.5604855344662694,4.529537321225733,0.05549299534930978,0.303,0.5569999999999999
2004-03-04 09:32:46,0.06077415889447653,0.07851322241671554,-0.013894682839193383,1.1579424749803109,4.868368043286192,0.07867655801627413,0.491,0.952,0.0722057717661989,0.09186550227311881,0.1463430039206314,0.7027885613363196,5.015163620893283,0.09200590511751403,0.537,1.016,0.05223868352946847,0.06598693512731914,0.01191437686709909,0.36044136171189667,4.707591477231616,0.06628650670933818,0.295,0.59,0.042039357390496114,0.052927572632698414,0.013937458807127805,0.35626862497725575,4.4877244837025465,0.05335194834407634,0.249,0.46099999999999997
2004-03-04 09:42:46,0.0621948337321155,0.07978743385522329,0.03341637435248911,0.8904439566209863,4.889695222543437,0.07981697470248275,0.515,0.9690000000000001,0.07288554128619536,0.09340573992028858,0.17192091786117009,0.937326484447099,4.963999352843364,0.09343063475079792,0.596,1.092,0.05480936569168341,0.06917525377661707,0.048971018004626596,0.21452748002212774,4.755853804094803,0.06918557318749405,0.286,0.572,0.041359880853555686,0.052607979684282775,0.03431897533300188,0.47865919418472824,4.480881477404298,0.052704032805642315,0.278,0.556
2004-03-04 09:52:46,0.06299438449142995,0.08104621125910502,-0.027054821311613582,1.1822427248126037,4.834092577005065,0.08108439875024964,0.552,1.072,0.07343327310903848,0.09279892061048677,0.16619090102516174,0.3798683490097039,5.044096468378969,0.09280340613913345,0.513,0.989,0.05426109673323801,0.0686005123529966,0.0021122793754395075,0.2998168255486946,4.746546354609278,0.06863662099412589,0.349,0.659,0.04312637335807286,0.05466921728138984,0.007334417853315849,0.342722577134011,4.519585831857493,0.05484267124944673,0.3,0.569
2004-03-04 10:02:46,0.061945309829581,0.07912774211271187,-0.0178489361442338,0.5861623017913051,4.885534621142786,0.07916631009177791,0.381,0.75,0.07300610381366263,0.09282893197078534,0.14590026605178183,0.5044776249918708,4.975341790418341,0.09282990666727017,0.562,1.08,0.05323653498705879,0.06743723802141874,0.031230609933849157,0.39589291406495697,4.728803218334905,0.06745794971126111,0.388,0.762,0.04261702231554097,0.05380278577246441,0.02347987891631838,0.26250061289665494,4.505514050015668,0.05391179703428364,0.247,0.474
2004-03-04 10:12:46,0.06223536305483645,0.07953716954485783,0.043479522272613196,0.8353571240684241,4.887399831740025,0.07957216154543217,0.483,0.915,0.07331568924263816,0.09327884363873022,0.16675077421807263,0.603073701607046,4.963519420295784,0.09330057562514289,0.593,1.115,0.05501787196640393,0.0697802573752967,0.044218004590116995,0.4248512555578037,4.762443851348893,0.06982896973260234,0.383,0.727,0.042036085746372624,0.053266054212873434,0.04751134057666973,0.4821837109040943,4.492149770442326,0.05335369415984218,0.3,0.571
2004-03-04 10:22:46,0.0627453488939884,0.08034721311199261,0.05377617694315861,0.8311433442275313,4.89710306509148,0.08037553467046525,0.461,0.883,0.0746579422823376,0.09521511646927379,0.15847230587905867,0.7384524675814852,4.965951619629147,0.095227537511904,0.579,1.1429999999999998,0.05454211631427282,0.06947878444924362,0.010059951713030889,0.667310772702153,4.7563542854403424,0.06949952161744682,0.605,0.986,0.043537575076906955,0.05523456851470386,-0.048140568674431436,0.45694764674710875,4.528897879016304,0.05532350291780556,0.337,0.579
2004-03-04 10:32:46,0.0610963914253622,0.07846201695173761,0.0986857050585554,0.9288013130843886,4.8722097129111726,0.07846573939871888,0.498,0.859,0.07284847892963511,0.09275290515659215,0.1637935643776691,0.5847293908001188,4.934526556509465,0.09275740576911297,0.571,1.0979999999999999,0.05285365496362061,0.06700694460459017,0.07311235088368122,0.4313967202396425,4.721079668201619,0.06703200367055764,0.359,0.713,0.04239621075247664,0.053782105652747464,0.03220523980803617,0.33479381991628987,4.504304122634388,0.05386685228674492,0.239,0.473
2004-03-04 10:42:46,0.06202631964451405,0.08009101488249251,0.08086396859823108,1.0069415077933352,4.891638290757986,0.08011965909454705,0.527,0.942,0.07459763660334956,0.09489915980414572,0.180106339998214,0.7847143466960969,4.912912507817384,0.0949136181066491,0.72,1.2469999999999999,0.05535870892133342,0.0700486377714029,-0.030214702903187313,0.3391965076579173,4.7658729182688395,0.07006661044264127,0.354,0.6539999999999999,0.043536598466720575,0.0551703168387452,0.03155555784917275,0.39311248184789704,4.528977280516567,0.05525497322430668,0.293,0.5740000000000001
2004-03-04 10:52:46,0.06096113091459577,0.07830388941884667,0.0621635121726646,0.8272115986224229,4.870933062971072,0.07834120282309012,0.439,0.835,0.07398491137262543,0.09416148315269872,0.17157868332211013,0.6569340333755038,5.056271056874561,0.09417134256158588,0.522,0.9470000000000001,0.054706919283167815,0.06932940895086656,0.025527068182233482,0.33173051684941646,4.756332793055205,0.06936586321554485,0.4,0.759,0.042707309927240915,0.054250224479226485,0.027926540458448546,0.3945296235905129,4.511279673269574,0.05434448511716294,0.269,0.525
2004-03-04 11:02:46,0.06174222374139265,0.07932246925940503,0.026214323425184947,0.9867192781053289,4.88204928647323,0.0793469847656849,0.483,0.8979999999999999,0.07506523756042735,0.09543919323006733,0.17306983974692247,0.5931434362180199,5.069500317429217,0.09546557704332412,0.564,0.9909999999999999,0.05414063186678953,0.06844430761198009,0.04171838315705642,0.26388404575691826,4.744591924980413,0.06847785098120168,0.32,0.632,0.04284344938717569,0.05410130400799023,0.014059864140521338,0.2959117863295537,4.508829967817512,0.054214296552488675,0.256,0.505
2004-03-04 11:12:46,0.06218868108794382,0.07955568151116964,-0.0059264276575525425,0.9843725434084472,4.854035516623284,0.0796414305425279,0.596,1.04,0.0740731481029342,0.09385145186843914,0.12090543899166993,0.3875757881930948,5.054266117735086,0.09385462253090403,0.481,0.952,0.05481869231896013,0.06938033919541219,0.05572243317289355,0.34461362618581015,4.756612015874002,0.06940995802168377,0.386,0.728,0.04313926461252826,0.054557214091178426,-0.0014284165877660275,0.37514202869032953,4.517620348960069,0.054704772991898264,0.308,0.594
